PORT|TCP|UDP|DESCRIPTION
4672||Yes|Default for older versions of eMule
4711|Yes||eMule optional web interface
4713|Yes||PulseAudio sound server
4728|Yes||Computer Associates Desktop and Server Management (DMP)/Port Multiplexer
4730|Yes|Yes|Gearman's job server
4739|Yes|Yes|IP Flow Information Export
4747|Yes||Apprentice
4753|Yes|Yes|SIMON (service and discovery)
4789||Yes|Virtual eXtensible Local Area Network (VXLAN)
4791||Yes|IP Routable RocE (RoCEv2)
4840|Yes|Yes|OPC UA Connection Protocol (TCP) and OPC UA Multicast Datagram Protocol (UDP) for OPC Unified Architecture from OPC Foundation
4843|Yes|Yes|OPC UA TCP Protocol over TLS/SSL for OPC Unified Architecture from OPC Foundation
4847|Yes|Yes|Web Fresh Communication, Quadrion Software & Odorless Entertainment
4848|Yes||Java, Glassfish Application Server administration default
4894|Yes|Yes|LysKOM Protocol A
4944|No|Yes|DrayTek DSL Status Monitoring
4949|Yes||Munin Resource Monitoring Tool
4950|Yes|Yes|Cylon Controls UC32 Communications Port
5000|Yes||UPnP—Windows network device interoperability
5000–5500|No|Yes|League of Legends, a multiplayer online battle arena video game
5001|Yes||Slingbox and Slingplayer
5002|Yes||ASSA ARX access control system
5003|Yes|Assigned|FileMaker – name binding and transport
5004|Yes, and DCCP|Yes|Real-time Transport Protocol media data (RTP) (RFC 3551, RFC 4571)
5005|Yes, and DCCP|Yes|Real-time Transport Protocol control protocol (RTCP) (RFC 3551, RFC 4571)
5010|Yes|Yes|Registered to: TelePath (the IBM FlowMark workflow-management system messaging platform)The TCP port is now used for: IBM WebSphere MQ Workflow
5011|Yes|Yes|TelePath (the IBM FlowMark workflow-management system messaging platform)
5025|Yes|Yes|scpi-raw Standard Commands for Programmable Instruments
5029||Yes|Sonic Robo Blast 2 and Sonic Robo Blast 2 Kart servers
5031|Yes|Yes|AVM CAPI-over-TCP (ISDN over Ethernet tunneling)
5037|Yes||Android ADB server
5044|Yes||Standard port in Filebeats/Logstash implementation of Lumberjack protocol.
5048|Yes||Texai Message Service
5050|Yes||Yahoo! Messenger
5051|Yes||ita-agent Symantec Intruder Alert
5060|Yes|Yes|Session Initiation Protocol (SIP)
5061|Yes||Session Initiation Protocol (SIP) over TLS
5062|Yes|Yes|Localisation access
5064|Yes|Yes|EPICS Channel Access server
5065|Assigned|Yes|EPICS Channel Access repeater beacon
5070|Yes|No|Binary Floor Control Protocol (BFCP)
5084|Yes|Yes|EPCglobal Low Level Reader Protocol (LLRP)
5085|Yes|Yes|EPCglobal Low Level Reader Protocol (LLRP) over TLS
5090|Yes|Yes|3CX Phone System 3CX Tunnel Protocol, 3CX App API, 3CX Session Border Controller
5093||Yes|SafeNet, Inc Sentinel LM, Sentinel RMS, License Manager, client-to-server
5099|Yes|Yes|SafeNet, Inc Sentinel LM, Sentinel RMS, License Manager, server-to-server
5104|Yes||IBM Tivoli Framework NetCOOL/Impact HTTP Service
5121|Yes||Neverwinter Nights
5124|Yes|Yes|TorgaNET (Micronational Darknet)
5125|Yes|Yes|TorgaNET (Micronational Intelligence Darknet)
5150|Yes|Yes|ATMP Ascend Tunnel Management Protocol
5151|Yes||ESRI SDE Instance
5154|Yes|Yes|BZFlag
5172|Yes||PC over IP Endpoint Management
5190|Yes|Yes|AOL Instant Messenger protocol.
5198||Yes|EchoLink VoIP Amateur Radio Software (Voice)
5199||Yes|EchoLink VoIP Amateur Radio Software (Voice)
5200|Yes||EchoLink VoIP Amateur Radio Software (Information)
5201|Yes|Yes|Iperf3 (Tool for measuring TCP and UDP bandwidth performance)
5222|Yes|Reserved|Extensible Messaging and Presence Protocol (XMPP) client connection
5223|Yes||Apple Push Notification Service
5228|Yes||HP Virtual Room Service
5242|Yes|Yes|Viber
5243|Yes|Yes|Viber
5246||Yes|Control And Provisioning of Wireless Access Points (CAPWAP) CAPWAP control
5247||Yes|Control And Provisioning of Wireless Access Points (CAPWAP) CAPWAP data
5269|Yes||Extensible Messaging and Presence Protocol (XMPP) server-to-server connection
5280|Yes||Extensible Messaging and Presence Protocol (XMPP)
5281|Yes||Extensible Messaging and Presence Protocol (XMPP)
5298|Yes|Yes|Extensible Messaging and Presence Protocol (XMPP)
5310|Assigned|Yes|Outlaws, a 1997 first-person shooter video game
5318|Yes|Reserved|Certificate Management over CMS
5349|Yes/No|Yes/No|STUN over TLS/DTLS, a protocol for NAT traversal
5351|Reserved|Yes|NAT Port Mapping Protocol and Port Control Protocol—client-requested configuration for connections through network address translators and firewalls
5353|Assigned|Yes|Multicast DNS (mDNS)
5355|Yes|Yes|Link-Local Multicast Name Resolution (LLMNR), allows hosts to perform name resolution for hosts on the same local link (only provided by Windows Vista and Server 2008)
5357|Yes|Yes|Web Services for Devices (WSDAPI) (only provided by Windows Vista, Windows 7 and Server 2008)
5358|Yes|Yes|WSDAPI Applications to Use a Secure Channel (only provided by Windows Vista, Windows 7 and Server 2008)
5394||Yes|Kega Fusion, a Sega multi-console emulator
5402|Yes|Yes|Multicast File Transfer Protocol (MFTP)
5405|Yes|Yes|NetSupport Manager
5412|Yes|Yes|IBM Rational Synergy (Telelogic Synergy) (Continuus CM) Message Router
5413|Yes|Yes|Wonderware SuiteLink service
5417|Yes|Yes|SNS Agent
5421|Yes|Yes|NetSupport Manager
5432|Yes|Assigned|PostgreSQL database system
5433|Yes||Bouwsoft file/webserver
5445||Yes|Cisco Unified Video Advantage
5480|Yes||VMware VAMI (Virtual Appliance Management Infrastructure)—used for initial setup of various administration settings on Virtual Appliances designed using the VAMI architecture.
5481|Yes||Schneider Electric's ClearSCADA (SCADA implementation for Windows) — used for client-to-server communication.
5495|Yes||IBM Cognos TM1 Admin server
5498|Yes||Hotline tracker server connection
5499||Yes|Hotline tracker server discovery
5500|Yes||Hotline control connection
5501|Yes||Hotline file transfer connection
5517|Yes||Setiqueue Proxy server client for SETI@Home project
5550|Yes||Hewlett-Packard Data Protector
5554|Yes|Yes|Fastboot default wireless port
5555|Yes|Yes|Oracle WebCenter Content: Inbound Refinery—Intradoc Socket port. (formerly known as Oracle Universal Content Management). Port though often changed during installation
5556|Yes|Yes|Freeciv, Oracle WebLogic Server Node Manager
5568|Yes|Yes|Session Data Transport (SDT), a part of Architecture for Control Networks (ACN)
5601|Yes||Kibana
5631|Yes||pcANYWHEREdata, Symantec pcAnywhere (version 7.52 and later data
5632||Yes|pcANYWHEREstat, Symantec pcAnywhere (version 7.52 and later) status
5656|Yes||IBM Lotus Sametime p2p file transfer
5666|Yes||NRPE (Nagios)
5667|Yes||NSCA (Nagios)
5670|Yes||FILEMQ ZeroMQ File Message Queuing Protocol
5671|Yes|Assigned|Advanced Message Queuing Protocol (AMQP) over TLS
5672|Yes, and SCTP|Assigned|Advanced Message Queuing Protocol (AMQP)
5683|Yes|Yes|Constrained Application Protocol (CoAP)
5684|Yes/No|Yes|Constrained Application Protocol Secure (CoAPs)
5693|Yes||Nagios Cross Platform Agent (NCPA)
5701|Yes||Hazelcast default communication port
5722|Yes|Yes|Microsoft RPC, DFSR (SYSVOL) Replication Service
5718|Yes||Microsoft DPM Data Channel (with the agent coordinator)
5719|Yes||Microsoft DPM Data Channel (with the protection agent)
5723|Yes||System Center Operations Manager
5724|Yes||Operations Manager Console
5741|Yes|Yes|IDA Discover Port 1
5742|Yes|Yes|IDA Discover Port 2
5800|Yes||VNC Remote Frame Buffer RFB protocol over HTTP
5900|Yes|Yes|Remote Frame Buffer protocol (RFB)
5931|Yes|Yes|AMMYY admin Remote Control
5938|Yes|Yes|TeamViewer remote desktop protocol
5984|Yes|Yes|CouchDB database server
5985|Yes||Windows PowerShell Default psSession Port
5986|Yes||Windows PowerShell Default psSession Port
5988–5989|Yes||CIM-XML (DMTF Protocol)
6000–6063|Yes|Yes|X11—used between an X client and server over the network
6005|Yes||Default for BMC Software Control-M/Server—Socket used for communication between Control-M processes—though often changed during installation
6009|Yes||JD Edwards EnterpriseOne ERP system JDENet messaging client listener
6050|Yes||Arcserve backup
6051|Yes||Arcserve backup
6086|Yes||Peer Distributed Transfer Protocol (PDTP), FTP like file server in a P2P network
6100|Yes||Vizrt System
6101|Yes||Backup Exec Agent Browser
6110|Yes|Yes|softcm, HP Softbench CM
6111|Yes|Yes|spc, HP Softbench Sub-Process Control
6112|Yes|Yes|dtspcd, execute commands and launch applications remotely
6113|Yes||Club Penguin Disney online game for kids, Used by some Blizzard games
6136|Yes||ObjectDB database server
6159|Yes||ARINC 840 EFB Application Control Interface
6200|Yes||Oracle WebCenter Content Portable: Content Server (With Native UI) and Inbound Refinery
6201|Yes||Oracle WebCenter Content Portable: Admin
6225|Yes||Oracle WebCenter Content Portable: Content Server Web UI
6227|Yes||Oracle WebCenter Content Portable: JavaDB
6240|Yes||Oracle WebCenter Content Portable: Capture
6244|Yes|Yes|Oracle WebCenter Content Portable: Content Server—Intradoc Socket port
6255|Yes|Yes|Oracle WebCenter Content Portable: Inbound Refinery—Intradoc Socket port
6257||Yes|WinMX (see also 6699)
6260|Yes|Yes|planet M.U.L.E.
6262|Yes||Sybase Advantage Database Server
6343||Yes|SFlow, sFlow traffic monitoring
6346|Yes|Yes|gnutella-svc, gnutella (FrostWire, Limewire, Shareaza, etc.)
6347|Yes|Yes|gnutella-rtr, Gnutella alternate
6350|Yes|Yes|App Discovery and Access Protocol
6379|Yes||Redis key-value data store
6389|Yes||EMC CLARiiON
6432|Yes||PgBouncer—A connection pooler for PostgreSQL
6436|Yes||Leap Motion Websocket Server TLS
6437|Yes||Leap Motion Websocket Server
6444|Yes|Yes|Sun Grid Engine Qmaster Service
6445|Yes|Yes|Sun Grid Engine Execution Service
6463–6472|Yes||Discord RPC
6464|Yes|Yes|Port assignment for medical device communication in accordance to IEEE 11073-20701
6502|Yes|Yes|Netop Remote Control
6513|Yes||NETCONF over TLS
6514|Yes||Syslog over TLS
6515|Yes|Yes|Elipse RPC Protocol (REC)
6516|||Windows Admin Center
6543|Yes||Pylons project#Pyramid Default Pylons Pyramid web service port
6556|Yes||Check MK Agent
6566|Yes||SANE (Scanner Access Now Easy)—SANE network scanner daemon
6560–6561|Yes||Speech-Dispatcher daemon
6571|||Windows Live FolderShare client
6600|Yes||Microsoft Hyper-V Live
6601|Yes||Microsoft Forefront Threat Management Gateway
6602|Yes||Microsoft Windows WSS Communication
6619|Yes|Yes|odette-ftps, Odette File Transfer Protocol (OFTP) over TLS/SSL
6622|Yes|Yes|Multicast FTP
6653|Yes|Assigned|OpenFlow
6660–6664|Yes||Internet Relay Chat (IRC)
6665–6669|Yes||Internet Relay Chat (IRC)
6679|Yes|Yes|Osorno Automation Protocol (OSAUT)
6690|Yes||Synology Cloud station
6697|Yes||IRC SSL (Secure Internet Relay Chat)—often used
6699|Yes||WinMX (see also 6257)
6715|Yes||AberMUD and derivatives default port
6771||Yes|BitTorrent Local Peer Discovery
6783–6785|Yes||Splashtop Remote server broadcast
6881–6887|Yes|Yes|BitTorrent part of full range of ports used most often
6888|Yes|Yes|MUSE
6889–6890|Yes|Yes|BitTorrent part of full range of ports used most often
6891–6900|Yes|Yes|BitTorrent part of full range of ports used most often
6891–6900|Yes|Yes|Windows Live Messenger (File transfer)
6901|Yes|Yes|Windows Live Messenger (Voice)
6902–6968|Yes|Yes|BitTorrent part of full range of ports used most often
6969|Yes|Yes|acmsoda
6970–6999|Yes|Yes|BitTorrent part of full range of ports used most often
7000|Yes||Default for Vuze's built-in HTTPS Bittorrent Tracker
7001|Yes||Avira Server Management Console
7002|Yes||Default for BEA WebLogic Server's HTTPS server, though often changed during installation
7005|Yes||Default for BMC Software Control-M/Server and Control-M/Agent for Agent-to-Server, though often changed during installation
7006|Yes||Default for BMC Software Control-M/Server and Control-M/Agent for Server-to-Agent, though often changed during installation
7010|Yes||Default for Cisco AON AMC (AON Management Console)
7022|Yes||Database mirroring endpoints
7023||Yes|Bryan Wilcutt T2-NMCS Protocol for SatCom Modems
7025|Yes||Zimbra LMTP —local mail delivery
7047|Yes||Zimbra conversion server
7070|Yes|Yes/No|Real Time Streaming Protocol (RTSP), used by QuickTime Streaming Server. TCP is used by default, UDP is used as an alternate.
7133|Yes||Enemy Territory: Quake Wars
7144|Yes||Peercast
7145|Yes||Peercast
7171|Yes||Tibia
7262|Yes|Yes|CNAP (Calypso Network Access Protocol)
7272|Yes|Yes|WatchMe - WatchMe Monitoring
7306|Yes||Zimbra mysql 
7307|Yes||Zimbra mysql 
7312||Yes|Sibelius License Server
7396|Yes||Web control interface for Folding@home v7.3.6 and later
7400|Yes|Yes|RTPS (Real Time Publish Subscribe) DDS Discovery
7401|Yes|Yes|RTPS (Real Time Publish Subscribe) DDS User-Traffic
7402|Yes|Yes|RTPS (Real Time Publish Subscribe) DDS Meta-Traffic
7471|Yes||Stateless Transport Tunneling (STT)
7473|Yes||Rise: The Vieneo Province
7474|Yes||Neo4J Server webadmin
7478|Yes||Default port used by Open iT Server.
7542|Yes|Yes|Saratoga file transfer protocol
7547|Yes|Yes|CPE WAN Management Protocol (CWMP) Technical Report 069
7575||Yes|Populous: The Beginning server
7624|Yes|Yes|Instrument Neutral Distributed Interface
7631|Yes||ERLPhase
7634|Yes||hddtemp—Utility to monitor hard drive temperature
7652–7654|Yes||I2P anonymizing overlay network
7655||Yes|I2P SAM Bridge Socket API
7656–7660|Yes||I2P anonymizing overlay network
7670|Yes||BrettspielWelt BSW Boardgame Portal
7680|Yes||Delivery Optimization for Windows 10
7687|Yes||Bolt database connection
7707–7708||Yes|Killing Floor
7717||Yes|Killing Floor
7777|Yes||iChat server file transfer proxy
7777–7788|Yes|Yes|Unreal Tournament series default server
7831|Yes||Default used by Smartlaunch Internet Cafe Administration software
7880|Yes|Yes|PowerSchool Gradebook Server
7890|Yes||Default that will be used by the iControl Internet Cafe Suite Administration software
7915|Yes||Default for YSFlight server
7935|Yes||Fixed port used for Adobe Flash Debug Player to communicate with a debugger (Flash IDE, Flex Builder or fdb).
7946|Yes|Yes|Docker Swarm communication among nodes
7990|Yes||Atlassian Bitbucket (default port)
8000|Yes||Commonly used for Internet radio streams such as SHOUTcast
8005|Yes||Tomcat remote shutdown
8006|Yes||Quest AppAssure 5 API
8007|Yes||Quest AppAssure 5 Engine
8008|Yes|Yes|Alternative port for HTTP. See also ports 80 and 8080.
8009|Yes||Apache JServ Protocol (ajp13)
8010|Yes|?|Buildbot Web status page
8042|?|?|Orthanc – REST API over HTTP
8069|Yes||OpenERP 5.0 XML-RPC protocol
8070|Yes||OpenERP 5.0 NET-RPC protocol
8074|Yes|Yes|Gadu-Gadu
8075|Yes||Killing Floor web administration interface
8080|Yes|Yes|Alternative port for HTTP. See also ports 80 and 8008.
8088|Yes||Asterisk management access via HTTP
8089|Yes|No|Splunk daemon management
8090|?|?|Atlassian Confluence
8091|?|?|CouchBase web administration
8092|?|?|CouchBase API
8111|Yes||JOSM Remote Control
8112|Yes||PAC Pacifica Coin
8116||Yes|Check Point Cluster Control Protocol
8118|Yes||Privoxy—advertisement-filtering Web proxy
8123|Yes||Polipo Web proxy
8139|Yes||Puppet (software) Client agent
8140|Yes||Puppet (software) Master server
8172|Yes||Microsoft Remote Administration for IIS Manager
8184|Yes||NCSA Brown Dog Data Access Proxy
8194–8195|?|?|Bloomberg Terminal
8200|Yes||GoToMyPC
8222|?|?|VMware VI Web Access via HTTP
8243|Yes|Yes|HTTPS listener for Apache Synapse
8245|Yes||Dynamic DNS for at least No-IP and DyDNS
8280|Yes|Yes|HTTP listener for Apache Synapse
8281|Yes||HTTP Listener for Gatecraft Plugin
8291|Yes||Winbox—Default on a MikroTik RouterOS for a Windows application used to administer MikroTik RouterOS
8303||Yes|Teeworlds Server
8332|Yes||Bitcoin JSON-RPC server
8333|Yes||Bitcoin
8333|Yes||Zip Code Technology
8337|Yes||VisualSVN Distributed File System Service (VDFS)
8384|Yes||Syncthing web GUI
8388|Yes||Shadowsocks proxy server
8443|Yes||SW Soft Plesk Control Panel
8444|Yes||Bitmessage
8448|Yes|?|Matrix homeserver federation over HTTPS
8484|Yes||MapleStory Login Server
8500|Yes||Adobe ColdFusion built-in web server
8530|?|?|Windows Server Update Services over HTTP
8531|?|?|Windows Server Update Services over HTTPS
8580|?|?|Freegate, an Internet anonymizer and proxy tool
8629|Yes||Tibero database
8642|Yes||Lotus Notes Traveler auto synchronization for Windows Mobile and Nokia devices
8691|Yes||Ultra Fractal, a fractal generation and rendering software application – distributed calculations over networked computers
8765|Yes|?|Default port of a local GUN relay peer that the Internet Archive
8767||Yes|Voice channel of TeamSpeak 2,
8834|?|?|Nessus, a vulnerability scanner – remote XML-RPC web server
8840|?|?|Opera Unite, an extensible framework for web applications
8880|Yes||Alternate port of CDDB (Compact Disc Database) protocol, used to look up audio CD (compact disc) information over the Internet. See also port 888.
8883|Yes|Yes|Secure MQTT (MQTT over TLS)
8887|?|?|HyperVM over HTTP
8888|?|?|HyperVM over HTTPS
8889|?|?|MAMP
8983|?|?|Apache Solr
8997|?|?|Alternate port for I2P Monotone Proxy
8998|?|?|I2P Monotone Proxy
8999|?|?|Alternate port for I2P Monotone Proxy
9000|Yes||SonarQube Web Server
9001|Yes|Yes|ETL Service Manager
9002|||Newforma Server comms
9006|||De-Commissioned Port
9030|Yes||Tor often used
9042|Yes||Apache Cassandra native protocol clients
9043|Yes||WebSphere Application Server Administration Console secure
9050–9051|Yes||Tor (SOCKS-5 proxy client)
9060|Yes||WebSphere Application Server Administration Console
9080|Yes|Yes|glrpc, Groove Collaboration software GLRPC
9090|Yes||Prometheus metrics server
9091|Yes||Openfire Administration Console (SSL Secured)
9092|Yes||H2 (DBMS) Database Server
9100|Yes|Assigned|PDL Data Stream, used for printing to certain network printers
9101|Yes|Yes|Bacula Director
9102|Yes|Yes|Bacula File Daemon
9103|Yes|Yes|Bacula Storage Daemon
9119|Yes|Yes|MXit Instant Messenger
9150|Yes||Tor Browser
9191|Yes||Sierra Wireless Airlink
9199|Yes||Avtex LLC—qStats
9200|Yes||Elasticsearch—default Elasticsearch port
9217|Yes||iPass Platform Service
9293|Yes||Sony PlayStation RemotePlay
9300|Yes||IBM Cognos BI
9303||Yes|D-Link Shareport Share storage and MFP printers
9306|Yes||Sphinx Native API
9309|Yes|Yes|Sony PlayStation Vita Host Collaboration WiFi Data Transfer
9312|Yes||Sphinx SphinxQL
9332|Yes||Litecoin JSON-RPC server
9333|Yes||Litecoin
9339|Yes||Clash of Clans, a mobile freemium strategy video game
9389|Yes|Yes|adws, Microsoft AD DS Web Services, Powershell uses this port
9392|Yes|?|OpenVAS Greenbone Security Assistant web interface
9418|Yes|Yes|git, Git pack transfer service
9419|Yes||MooseFS distributed file system – master control port
9420|Yes||MooseFS distributed file system – master command port
9421|Yes||MooseFS distributed file system – master client port
9422|Yes||MooseFS distributed file system – Chunkservers
9425|Yes||MooseFS distributed file system – CGI server
9443|Yes||VMware Websense Triton console (HTTPS port used for accessing and administrating a vCenter Server via the Web Management Interface)
9535|Yes|Yes|mngsuite, LANDesk Management Suite Remote Control
9536|Yes|Yes|laes-bf, IP Fabrics Surveillance buffering function
9600|No|Yes|Factory Interface Network Service (FINS), a network protocol used by Omron programmable logic controllers
9675|Yes|Yes|Spiceworks Desktop, IT Helpdesk Software
9676|Yes|Yes|Spiceworks Desktop, IT Helpdesk Software
9695|?|?|Content centric networking (CCN, CCNx)
9785|Yes|Yes|Viber
9800|Yes|Yes|WebDAV Source
9875|Yes||Club Penguin Disney online game for kids
9898|Yes||Tripwire—File Integrity Monitoring Software
9899||Yes|SCTP tunneling (port number used in SCTP packets encapsulated in UDP, RFC 6951)
9901|Yes||Banana for Apache Solr
9981|Yes||Tvheadend HTTP server (web interface)
9982|Yes||Tvheadend HTSP server (Streaming protocol)
9987||Yes|TeamSpeak 3 server default (voice) port (for the conflicting service see the IANA list)
9993||Yes|ZeroTier Default port for ZeroTier
9997|Yes||Splunk port for communication between the forwarders and indexers
9999|||Urchin Web Analytics
10000|Yes|Yes|Network Data Management Protocol
10000–20000|No|Yes|Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10001||Yes|Ubiquiti UniFi access points broadcast to 255.255.255.255:10001 (UDP) to locate the controller(s)
10009|Yes|Yes|CrossFire, a multiplayer online First Person Shooter
10010|Yes||Open Object Rexx (ooRexx) rxapi daemon
10024|Yes||Zimbra smtp 
10025|Yes||Zimbra smtp 
10042|Yes||Mathoid server
10050|Yes|Yes|Zabbix agent
10051|Yes|Yes|Zabbix trapper
10080|Yes||Touhou fight games (Immaterial and Missing Power, Scarlet Weather Rhapsody, Hisoutensoku, Hopeless Masquerade and Urban Legend in Limbo)
10110|Yes|Yes|NMEA 0183 Navigational Data. Transport of NMEA 0183 sentences over TCP or UDP
10172|Yes||Intuit Quickbooks client
10200|Yes||FRISK Software International's fpscand virus scanning daemon for Unix platforms
10201–10204|Yes||FRISK Software International's f-protd virus scanning daemon for Unix platforms
10212|Yes||GE Intelligent Platforms Proficy HMI/SCADA – CIMPLICITY WebView
10308|?|?|Lock On: Modern Air Combat
10480|?|?|SWAT 4 Dedicated Server
10505||Yes|BlueStacks (android simulator) broadcast
10514|Yes|Yes|TLS-enabled Rsyslog (default by convention)
10823||Yes|Farming Simulator 2011
10891|Yes||Jungle Disk (this port is opened by the Jungle Disk Monitor service on the localhost)
10933|Yes|No|Octopus Deploy Tentacle deployment agent
11001|Yes|Yes|metasys ( Johnson Controls Metasys java AC control environment )
11111|Yes||RiCcI, Remote Configuration Interface (Redhat Linux)
11112|Yes|Yes|ACR/NEMA Digital Imaging and Communications in Medicine (DICOM)
11211|Yes|Yes|memcached
11214|Yes|Yes|memcached incoming SSL proxy
11215|Yes|Yes|memcached internal outgoing SSL proxy
11235|||Savage: Battle for Newerth
11311|Yes|Yes|Robot Operating System master
11371|Yes|Yes|OpenPGP HTTP key server
11753|Yes||OpenRCT2 multiplayer
12000|Yes|Yes|CubeForm, Multiplayer SandBox Game
12012||Yes|Audition Online Dance Battle, Korea Server—Status/Version Check
12013|Yes|Yes|Audition Online Dance Battle, Korea Server
12035||Yes|Second Life, used for server UDP in-bound
12043|Yes||Second Life, used for LSL HTTPS in-bound
12046|Yes||Second Life, used for LSL HTTP in-bound
12201|Yes|Yes|Graylog Extended Log Format (GELF)
12222||Yes|Light Weight Access Point Protocol (LWAPP) LWAPP data (RFC 5412)
12223||Yes|Light Weight Access Point Protocol (LWAPP) LWAPP control (RFC 5412)
12345|Yes|Yes|Cube World
12443|Yes||IBM HMC web browser management access over HTTPS instead of default port 443
12489|Yes||NSClient/NSClient++/NC_Net (Nagios)
12975|Yes||LogMeIn Hamachi (VPN tunnel software; also port 32976)—used to connect to Mediation Server (bibi.hamachi.cc); will attempt to use SSL (TCP port 443) if both 12975 & 32976 fail to connect
13000–13050||Yes|Second Life, used for server UDP in-bound
13008|Yes|Yes|CrossFire, a multiplayer online First Person Shooter
13075|Yes||Default for BMC Software Control-M/Enterprise Manager Corba communication, though often changed during installation
13400|Yes|Yes|ISO 13400 Road vehicles — Diagnostic communication over Internet Protocol(DoIP)
13720|Yes|Yes|Symantec NetBackup—bprd (formerly VERITAS)
13721|Yes|Yes|Symantec NetBackup—bpdbm (formerly VERITAS)
13724|Yes|Yes|Symantec Network Utility—vnetd (formerly VERITAS)
13782|Yes|Yes|Symantec NetBackup—bpcd (formerly VERITAS)
13783|Yes|Yes|Symantec VOPIED protocol (formerly VERITAS)
13785|Yes|Yes|Symantec NetBackup Database—nbdb (formerly VERITAS)
13786|Yes|Yes|Symantec nomdb (formerly VERITAS)
14550||Yes|MAVLink Ground Station Port
14567||Yes|Battlefield 1942 and mods
15000|Yes||psyBNC
15009|Yes|Yes|Teltonika networks remote management system (RMS)
15010|Yes|Yes|Teltonika networks remote management system (RMS)
15441|?|?|ZeroNet fileserver
15567||Yes|Battlefield Vietnam and mods
15345|Yes|Yes|XPilot Contact
15672|Yes|No|RabbitMQ management plugin
16000|Yes||Oracle WebCenter Content: Imaging (formerly known as Oracle Universal Content Management). Port though often changed during installation
16080|Yes||Mac OS X Server Web (HTTP) service with performance cache
16200|Yes||Oracle WebCenter Content: Content Server (formerly known as Oracle Universal Content Management). Port though often changed during installation
16225|Yes||Oracle WebCenter Content: Content Server Web UI. Port though often changed during installation
16250|Yes||Oracle WebCenter Content: Inbound Refinery (formerly known as Oracle Universal Content Management). Port though often changed during installation
16261|Yes|Yes|Project Zomboid multiplayer. Additional sequential ports used for each player connecting to server.
16300|Yes||Oracle WebCenter Content: Records Management (formerly known as Oracle Universal Records Management). Port though often changed during installation
16384||Yes|CISCO Default RTP MIN
16384-16403||Yes|Real-time Transport Protocol (RTP), RTP Control Protocol (RTCP), used by Apple's iChat for audio and video
16384-16387||Yes|Real-time Transport Protocol (RTP), RTP Control Protocol (RTCP), used by Apple's FaceTime and Game Center
16393-16402||Yes|Real-time Transport Protocol (RTP), RTP Control Protocol (RTCP), used by Apple's FaceTime and Game Center
16403-16472||Yes|Real-time Transport Protocol (RTP), RTP Control Protocol (RTCP), used by Apple's Game Center
16400|Yes||Oracle WebCenter Content: Capture (formerly known as Oracle Document Capture). Port though often changed during installation
16482|||CISCO Default RTP MAX
16567||Yes|Battlefield 2 and mods
17011|Yes||Worms multiplayer
17224|Yes|Yes|Train Realtime Data Protocol (TRDP) Process Data, network protocol used in train communication.
17225|Yes|Yes|Train Realtime Data Protocol (TRDP) Message Data, network protocol used in train communication.
17333|Yes||CS Server (CSMS), default binary protocol port
17475|Yes||DMXControl 3 Network Broker
17500|Yes|Yes|Dropbox LanSync Protocol (db-lsp); used to synchronize file catalogs between Dropbox clients on a local network.
18080|Yes|No|Monero P2P network communications
18081|Yes|No|Monero incoming RPC calls
18091|Yes|Yes|memcached Internal REST HTTPS for SSL
18092|Yes|Yes|memcached Internal CAPI HTTPS for SSL
18104|Yes||RAD PDF Service
18200|Yes|Yes|Audition Online Dance Battle, AsiaSoft Thailand Server status/version check
18201|Yes|Yes|Audition Online Dance Battle, AsiaSoft Thailand Server
18206|Yes|Yes|Audition Online Dance Battle, AsiaSoft Thailand Server FAM database
18300|Yes|Yes|Audition Online Dance Battle, AsiaSoft SEA Server status/version check
18301|Yes|Yes|Audition Online Dance Battle, AsiaSoft SEA Server
18306|Yes|Yes|Audition Online Dance Battle, AsiaSoft SEA Server FAM database
18333|Yes||Bitcoin testnet
18400|Yes|Yes|Audition Online Dance Battle, KAIZEN Brazil Server status/version check
18401|Yes|Yes|Audition Online Dance Battle, KAIZEN Brazil Server
18505|Yes|Yes|Audition Online Dance Battle R4p3 Server, Nexon Server status/version check
18506|Yes|Yes|Audition Online Dance Battle, Nexon Server
18605|Yes|Yes|X-BEAT status/version check
18606|Yes|Yes|X-BEAT
18676|Yes|Yes|YouView
19000|Yes|Yes|Audition Online Dance Battle, G10/alaplaya Server status/version check
19001|Yes|Yes|Audition Online Dance Battle, G10/alaplaya Server
19132||Yes|Minecraft: Bedrock Edition multiplayer server
19133||Yes|Minecraft: Bedrock Edition IPv6 multiplayer server
19150|Yes|Yes|Gkrellm Server
19226|Yes||Panda Software AdminSecure Communication Agent
19294|Yes||Google Talk Voice and Video connections
19295||Yes|Google Talk Voice and Video connections
19302||Yes|Google Talk Voice and Video connections
19812|Yes|No|4D database SQL Communication
19813|Yes|Yes|4D database Client Server Communication
19814|Yes||4D database DB4D Communication
19999|||Distributed Network Protocol—Secure (DNP—Secure), a secure version of the protocol used in SCADA systems between communicating RTU's and IED's
20000|||Distributed Network Protocol (DNP), a protocol used in SCADA systems between communicating RTU's and IED's
20560|Yes|Yes|Killing Floor
20582||Yes|HW Development IoT comms
20583||Yes|HW Development IoT comms
20595||Yes|0 A.D. Empires Ascendant
20808||Yes|Ableton Link
